Número de extracción;Fecha;Duración (h);Hora inicial alimentación;Hora  final alimentación;pH inicial licor liviano;Claridad inicial licor liviano (NTU);RF R1;RF R2;RF R3;RF R4;RF R5;RF R6;RF R7;RF R8;RF R9;RF R10;RF R11;RF R12;RF R13;RF R14;RF R15;RF R16;RF R17;RF R18;RF R19;RF R20;RF R21;RF R22;RF R23;RF R24;RF R25;RF R26;RF R27;Residuo total (in);Residuo total (kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
044;2018-02-15;21:20:00;10:30;4:00;3,03;35;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;25,0;977;18,0;1,2;404;120;10:00;12:00;24;11.222;404;36;4,61;3,6;;;;;;0;;;;30;11:00;11:30;2;0,5;42;5.038;212;65;4,74;4,20;14;1,8;361;120;14:00;16:00;26;9.404;361;55;4,89;3,84;;;;;;0;;;;;
045;2018-02-16;21:50:00;10:30;5:00;2,81;83;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;25,0;625;15,0;1,0;182;120;11:00;13:00;20;11.350;182;52;5,44;1,6;;;;;;0;;;;30;12:00;12:30;2;0,5;15;6.140;147;52;4,74;2,40;8;1,0;296;120;15:00;17:00;30;9.256;296;65;4,80;3,20;;;;;;0;;;;;
046;2018-02-17;21:40:00;11:00;5:00;3,03;14;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;0,5;0,5;16,5;1.059;15,0;1,0;479;120;11:00;13:00;28;11.086;479;31;4,54;4,3;;;;;;0;;;;30;12:00;12:30;2;0,5;30;5.512;220;25;4,76;4,00;8;1,0;360;120;15:00;17:00;33;9.172;360;75;4,67;3,92;;;;;;0;;;;;
047;2018-02-18;20:40:00;10:20;5:00;3,09;11;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;17,5;961;7,5;0,5;308;120;14:00;16:00;11;11.672;308;11;4,61;2,6;;;;;;0;;;;30;13:00;13:30;2;0,5;10;6.355;254;45;5,28;4,00;7;0,9;399;120;16:00;18:00;9;9.965;399;28;4,68;4,00;;;;;;0;;;;;
048;2018-02-19;21:45:00;11:00;5:00;3,22;15;2;2;1;1;0,5;0,5;0,5;2;2;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;25,5;882;7,5;0,5;468;120;14:00;16:00;10;11.701;468;15;5,03;4,0;;;;;;0;;;;30;13:00;13:30;2;0,5;25;5.738;184;28;4,91;3,20;8;1,0;230;120;16:00;18:00;20;9.591;230;20;4,76;2,40;;;;;;0;;;;;
049;2018-02-20;28:40:00;11:00;10:00;2,87;11;2;1;1;0,5;2;0,5;0,5;1;1;1;0,5;1;6;0,5;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;29,5;917;15,5;1,0;358;120;14:00;16:00;25;11.174;358;31;4,80;3,2;;;;;;0;;;;30;13:00;13:30;2;0,5;25;5.738;184;28;4,70;3,20;8;1,0;376;120;16:00;18:00;26;9.404;376;50;4,65;4,00;;;;;;0;;;;;
050;2018-02-21;24:00:00;16:30;11:00;2,87;24;5;5;5;5;2;2;2;5;5;5;5;2;2;2;2;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;64,0;916;19,5;1,3;374;120;22:00;0:00;10;11.701;374;52;3,88;3,2;;;;;;0;;;;30;20:00;20:30;2;0,5;15;6.140;147;44;3,58;2,40;8;1,0;394;120;21:00;23:00;13;9.843;394;42;4,68;4,00;;;;;;0;;;;;
051;2018-02-22;22:00:00;18:00;13:00;3,10;12;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;17,5;1.362;54,0;3,6;372;120;22:00;0:00;20;11.350;372;61;4,59;3,3;;;;;;0;;;;30;20:00;20:30;2;0,5;15;6.140;250;42;5,00;4,08;8;1,0;739;120;2:00;4:00;25;9.424;739;21;4,69;7,84;;;;;;0;;;;;
052;2018-02-23;23:25:00;18:45;12:30;2,83;28;4;4;1,5;1,5;1,5;2;2;4;3,5;3;2;2;2;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;45,0;729;7,5;0,5;215;120;22:00;0:00;25;11.174;215;48;4,60;1,9;;;;;;0;;;;30;20:00;20:30;2;0,5;20;5.930;190;51;4,76;3,20;8;1,0;325;120;2:00;4:00;18;9.675;325;42;4,81;3,36;;;;;;0;;;;;
053;2018-02-24;26:00:00;20:00;16:00;3,07;19;1;0,5;1;1;1;1;1;1;1;1;2;4;4;0,5;2;2;2;2;1;1;1;2;2;2;2;1;1;41,0;774;35,0;2,3;281;120;3:00;5:00;20;11.350;281;57;4,59;2,5;;;;;;0;;;;30;3:30;4:00;2;0,5;25;5.721;165;58;4,69;2,88;8;1,0;328;120;6:00;8:00;29;9.321;328;40;5,10;3,52;;;;;;0;;;;;
054;2018-02-25;24:40:00;23:00;19:00;2,89;25;1;1;1;1;1;1;2;1;3;5;1;1;3;1;1;1;1;1;1;8;8;8;8;8;8;8;8;92,0;906;22,0;1,5;377;120;7:00;9:00;8;11.776;377;24;5,00;3,2;;;;;;0;;;;30;5:30;6:00;7;1,8;10;6.355;178;50;4,58;2,80;12;1,5;352;120;9:00;11:00;15;9.767;352;21;4,66;3,60;;;;;;0;;;;;
055;2018-02-26;29:30:00;2:00;23:10;3,22;25;2;2;3;1;0,5;3;3;3;5;2;2;1;0,5;0,5;2;0,5;0,5;0,5;0,5;2;2;3;2;2;2;1;1;47,5;883;24,0;1,6;392;120;7:00;9:00;25;11.188;392;19;4,50;3,5;;;;;;0;;;;30;6:00;6:30;4;1,0;15;6.150;184;42;4,10;3,00;64;8,0;307;120;9:00;11:00;20;9.602;307;10;4,60;3,20;;;;;;0;;;;;
056;2018-02-27;23:15:00;8:15;2:20;2,69;21;2;2;4;4;3;1;1;1;2;1;1;1;3;1;1;0,5;0,5;0,5;0,5;3;2;3;3;8;8;1;1;59,0;779;30,5;2,0;268;120;11:00;13:00;25;11.174;268;20;4,80;2,4;;;;;;0;;;;30;12:00;12:30;2;0,5;18;6.035;193;26;4,70;3,20;15;1,9;318;120;15:00;17:00;10;9.927;318;24;4,95;3,20;;;;;;0;;;;;
057;2018-02-28;21:40:00;11:00;5:00;3,08;70;2;2;2;3;2;2;2;1;2;1;1;1;3;1;1;0,5;0,5;0,5;0,5;2;1;4;4;4;4;1;1;49,0;983;28,0;1,9;374;120;14:00;16:00;11;11.672;374;36;4,55;3,2;;;;;;0;;;;30;14:00;14:30;2;0,5;10;6.355;254;35;4,72;4,00;29;3,6;355;120;17:00;19:00;12;9.866;355;32;4,03;3,60;;;;;;0;;;;;
058;2018-03-02;22:30:00;11:30;6:00;2,93;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;2;2;1;1;1;1;1;1;27,0;904;26,0;1,7;450;120;16:00;18:00;23;11.262;450;54;5,04;4,0;;;;;;0;;;;30;16:30;17:00;2;0,5;28;5.617;225;43;4,42;4,00;21;2,6;230;120;18:00;20:00;20;9.591;230;43;4,00;2,40;;;;;;0;;;;;
059;2018-03-03;21:00:00;11:30;5:00;3,16;21;3;2;0,5;0,5;0,5;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;0,5;1;0,5;0,5;21,5;1.267;15,0;1,0;470;120;16:00;18:00;28;11.086;470;42;4,49;4,2;;;;;;0;;;;30;13:30;14:00;2;0,5;25;5.721;307;48;4,57;5,36;10;1,3;490;120;18:00;20:00;25;9.424;490;44;4,63;5,20;;;;;;0;;;;;
060;2018-03-04;22:10:00;11:15;5:00;2,93;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;0,5;0,5;2;2;0,5;0,5;25,0;841;13,0;0,9;398;120;16:00;18:00;29;11.049;398;29;4,74;3,6;;;;;;0;;;;30;13:30;14:00;2;0,5;28;5.617;184;42;4,61;3,28;7;0,8;259;120;18:00;20:00;30;9.256;259;34;4,52;2,80;;;;;;0;;;;;
061;2018-03-05;22:30:00;11:30;5:20;2,51;21;0,5;0,5;1;1;1;1;1;0,5;1;2;1;2;3;1;1;0,5;0,5;0,5;0,5;5;8;4;3;1;1;1;1;43,5;783;15,0;1,0;281;120;15:00;17:00;20;11.350;281;25;4,98;2,5;;;;;;0;;;;30;14:00;14:30;2;0,5;25;5.721;238;37;4,36;4,16;8;1,0;264;120;18:00;20:00;25;9.424;264;45;4,65;2,80;;;;;;0;;;;;
062;2018-03-06;21:20:00;12:00;5:30;2,74;28;;2;4;5;2,5;4;4;2;1,5;2;3,5;2;;4;4;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;50,5;1.080;17,5;1,2;396;120;16:00;18:00;12;11.638;396;27;4,46;3,4;;;;;;0;;;;30;21:00;21:30;2;0,5;11;6.314;309;42;4,87;4,90;24;3,0;375;120;18:00;20:00;12;9.866;375;63;3,80;3,80;;;;;;0;;;;;
063;2018-03-07;23:50:00;13:00;10:00;2,95;11;1;0,5;1;1;1;1;1;0,5;0,5;0,5;0,5;1;3;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;2;1;1;25,5;894;40,5;2,7;358;120;17:00;19:00;25;11.174;358;62;5,05;3,2;;;;;;0;;;;30;19:00;19:30;2;0,5;20;5.930;285;42;4,64;4,80;8;1,0;252;120;20:00;22:00;38;9.005;252;18;4,93;2,80;;;;;;0;;;;;
064;2018-03-08;21:00:00;14:00;9:30;2,53;20;2;2;0,5;1;0,5;1;1;0,5;1;0,5;1;0,5;1;0,5;1;0,5;0,5;0,5;0,5;2;2;5;5;2;4;0,5;0,5;37,0;1.065;14,5;1,0;363;120;18:00;20:00;20;11.350;363;45;5,25;3,2;;;;;;0;;;;30;16:00;16:30;2;0,5;13;6.244;300;53;4,80;4,80;9;1,1;402;120;20:00;22:00;13;9.843;402;36;5,04;4,08;;;;;;0;;;;;
065;2018-03-09;23:15:00;14:00;9:30;2,71;18;0,5;0,5;0,5;0,5;1;2;1;0,5;0,5;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;3;1;1;0,5;0,5;23,5;1.419;14,0;0,9;458;120;23:00;1:00;18;11.438;458;37;4,53;4,0;;;;;;0;;;;30;18:30;19:00;2;0,5;30;5.512;287;36;4,26;5,20;21;2,6;675;120;22:00;0:00;23;9.508;675;37;4,47;7,10;;;;;;0;;;;;
066;2018-03-10;25:30:00;14:00;14:00;3,29;23;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;17,5;964;11,5;0,8;340;90;19:00;20:30;25;11.188;340;31;4,70;3,0;;;;;;0;;;;30;17:30;18:00;2;0,5;20;5.930;237;47;4,80;4,00;10;1,3;387;60;18:00;19:00;18;9.675;387;36;4,90;4,00;;;;;;0;;;;;
067;2018-03-11;25:00:00;18:40;14:00;2,95;100;1;0,5;0,5;1;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;2;2;1;0,5;0,5;0,5;0,5;3;3;3;3;1;1;1;1;30,5;797;7,5;0,5;361;120;1:00;3:00;22;11.291;361;28;4,85;3,2;;;;;;0;;;;30;0:00;0:30;2;0,5;16;6.108;199;47;4,86;3,26;8;1,0;236;120;2:00;4:00;13;9.843;236;42;4,85;2,40;;;;;;0;;;;;
068;2018-03-12;20:50:00;21:40;16:00;3,02;24;1;1;3;2;1;1;2;2;5;1;2;1;5;1;1;0,5;0,5;0,5;0,5;2;2;2;2;1;1;1;1;43,0;1.006;12,5;0,8;369;120;23:00;1:00;15;11.526;369;33;4,70;3,2;;;;;;0;;;;30;21:30;22:00;2;0,5;10;6.349;254;16;4,80;4,00;16;2,0;384;120;1:00;3:00;20;9.591;384;33;4,50;4,00;;;;;;0;;;;;
069;2018-03-13;24:30:00;21:30;18:00;2,95;20;0,5;0,5;1;0,5;2;1;0,5;1;0,5;0,5;2;0,5;1;0,5;0,5;2;2;2;2;4;3;2;2;2;2;2;2;39,5;1.040;29,0;1,9;438;120;1:00;3:00;25;11.174;438;31;5,20;3,9;;;;;;0;;;;30;0:30;1:00;2;0,5;20;5.930;242;20;5,20;4,08;12;1,5;360;120;3:00;5:00;38;9.005;360;21;4,90;4,00;;;;;;0;;;;;
070;2018-03-14;24:55:00;1:00;23:00;2,76;16;1;2;2;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;2;0,5;0,5;2;3;3;2;1;2;4;3;3;4;8;1;50,0;741;12,5;0,8;227;120;4:00;6:00;20;11.361;227;32;4,98;2,0;;;;;;0;;;;30;4:00;4:30;8;2,0;23;5.826;149;62;4,91;2,56;19;2,4;365;120;8:00;10:00;23;9.508;365;36;4,86;3,84;;;;;;0;;;;;
071;2018-03-15;26:20:00;5:00;3:30;2,86;16;0,5;1;1;0,5;1;0,5;0,5;0,5;0,5;1;1;0,5;2;1;1;0,5;0,5;0,5;0,5;2;1;2;1;1;1;16;1;39,5;966;14,0;0,9;400;120;8:00;10:00;13;11.613;400;25;4,87;3,4;;;;;;0;;;;30;7:00;7:30;10;2,5;45;4.914;252;45;4,64;5,12;26;3,3;315;120;10:00;12:00;13;9.843;315;53;4,70;3,20;;;;;;0;;;;;
072;2018-03-16;24:00:00;9:30;6:00;2,80;19;3;1;2;1;3;1;0,5;0,5;0,5;1;1;0,5;3;0,5;0,5;0,5;0,5;2;0,5;8;7;4;2;2;2;5;13;65,5;1.308;12,5;0,8;582;120;14:00;16:00;12;11.638;582;63;4,69;5,0;;;;;;0;;;;30;12:00;12:30;2;0,5;10;6.355;318;51;4,78;5,00;25;3,1;409;120;16:00;18:00;9;9.965;409;24;4,64;4,10;;;;;;0;;;;;
073;2018-03-17;22:50:00;12:00;8:00;3,03;15;0,5;0,5;4;4;3;0,5;0,5;1;1;1;1;1;3;0,5;0,5;2;2;2;2;2;3;3;3;2;2;;1;46,0;1.208;19,0;1,3;589;120;15:00;17:00;8;11.776;589;23;4,76;5,0;;;;;;0;;;;30;14:00;14:30;3,5;0,9;9;6.397;320;23;4,76;5,00;43;5,4;299;120;17:00;19:00;9;9.965;299;41;5,20;3,00;;;;;;0;;;;;
074;2018-03-18;24:00:00;13:00;9:20;2,90;45;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;2;2;;0,5;17,0;1.290;22,0;1,5;545;120;16:00;18:00;20;11.350;545;24;5,10;4,8;;;;;;0;;;;30;16:00;16:30;8;2,0;20;5.930;285;35;5,10;4,80;16;2,0;460;120;18:00;20:00;20;9.591;460;44;4,80;4,80;;;;;;0;;;;;
075;2018-03-19;22:40:00;17:00;11:00;2,70;27;0,5;1;2;1;1;1;1;0,5;2;1;1;1;2;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;22,5;680;8,0;0,5;275;120;19:00;21:00;18;11.438;275;27;4,70;2,4;;;;;;0;;;;30;17:00;17:30;2;0,5;25;5.721;183;33;4,80;3,20;7;0,9;222;120;21:00;23:00;30;9.256;222;59;4,85;2,40;;;;;;0;;;;;
076;2018-03-20;22:00:00;18:30;13:00;3,25;51;0,5;1;4;1;0,5;0,5;4;0,5;1;1;1;0,5;1;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;23,5;747;17,0;1,1;351;120;22:00;23:30;10;11.707;351;47;4,90;3,0;;;;;;0;;;;30;21:30;22:00;2;0,5;5;6.561;197;33;4,95;3,00;4;0,4;199;120;23:30;1:00;10;9.932;199;54;4,85;2,00;;;;;;0;;;;;
077;2018-03-21;24:25:00;20:45;14:00;3,24;36;0,5;0,5;5;2;1;0,5;3;1;0,5;2;2;2;2;0,5;0,5;0,5;0,5;0,5;0,5;1;2;1;1;1;1;;0,5;32,5;836;18,0;1,2;819;120;4:00;6:00;23;11.262;360;52;4,98;3,2;120;12:00;14:00;25;11.188;459;80;4,46;4,1;30;23:30;0:00;2;0,5;18;6.035;241;29;5,23;4,00;4;0,4;461;120;6:00;8:00;15;9.759;234;66;4,89;2,40;90;14:00;15:30;36;9.074;227;80;5,13;2,50;;
078;2018-03-22;28:05:00;22:30;23:00;3,12;20;1;1;2;2;2;1;2;1;2;2;1;2;3;1;2;0,5;0,5;0,5;0,5;0,5;0,5;2;2;0,5;0,5;;0,5;33,5;1.015;23,0;1,5;764;120;10:00;12:00;18;11.438;458;42;4,75;4,0;120;15:00;17:00;32;10.945;306;38;5,01;2,8;30;9:30;10:00;2;0,5;15;6.140;246;26;4,69;4,00;8;0,9;596;120;12:00;14:00;15;9.759;312;36;5,03;3,20;90;19:00;20:30;42;8.876;284;36;4,96;3,20;;
079;2018-03-23;22:00:00;5:40;23:30;3,02;15;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;;1;25,0;1.090;25,0;1,7;901;120;8:00;10:00;18;11.438;549;29;5,10;4,8;120;15:00;17:00;30;11.014;352;9;4,84;3,2;30;7:30;8:00;2;0,5;20;5.930;237;30;4,90;4,00;7;0,8;525;120;10:00;12:00;23;9.508;304;13;5,20;3,20;90;19:00;20:30;32;9.206;221;52;4,74;2,40;;
080;2018-03-24;22:10:00;6:00;0:10;2,74;20;1;1;2;2;1;0,5;0,5;0,5;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;1;1;2;2;1;1;1;1;27,5;938;16,0;1,1;642;120;9:00;11:00;30;10.998;352;58;5,10;3,2;120;15:00;17:00;26;11.153;290;30;4,88;2,6;30;9:00;9:30;2;0,5;20;5.930;285;26;4,70;4,80;7;0,9;537;120;10:00;12:00;25;9.424;302;36;4,75;3,20;90;19:00;20:30;36;9.074;236;48;5,02;2,60;;
081;2018-03-25;21:45:00;7:00;1:00;2,69;22;1;3;4;2;1;1;2;1;2;2;2;2;3;1;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;34,5;942;15,5;1,0;665;120;9:00;11:00;28;11.084;399;22;4,84;3,6;120;15:00;17:00;28;11.084;266;35;4,92;2,4;30;9:00;9:30;2;0,5;35;5.326;202;22;4,84;3,80;10;1,3;546;120;10:00;12:00;24;9.470;341;42;4,90;3,60;90;22:00;23:30;28;9.338;205;52;4,84;2,20;;
082;2018-03-26;22:20:00;7:00;1:00;3,06;20;4;3;2;4;1;2;1;5;2;1;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;3;0,5;2;0,5;0,5;40,5;983;27,5;1,8;914;120;9:00;11:00;15;11.526;369;24;4,90;3,2;120;15:00;17:00;20;11.361;545;40;4,70;4,8;30;9:00;9:30;2;0,5;10;6.349;305;57;4,70;4,80;5;0,6;770;120;10:00;12:00;18;9.675;310;45;4,70;3,20;90;22:00;23:30;20;9.591;460;40;4,70;4,80;;
083;2018-03-27;21:45:00;7:00;2:00;2,62;19;0,5;0,5;3;1;1;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;3;4;5;3;2;0,5;0,5;35,5;1.303;28,0;1,9;553;120;9:00;11:00;15;11.526;553;59;4,50;4,8;;;;;;0;;;;30;9:00;9:30;2;0,5;3;6.664;373;36;4,05;5,60;11;1,3;377;120;10:00;12:00;25;9.424;377;59;4,70;4,00;;;;;;0;;;;;
084;2018-03-28;25:20:00;7:00;4:00;2,70;17;8;2;12;8;0,5;1;0,5;2;7;3;3;1;4;1;1;2;2;2;2;1;1;1;1;1;1;1;1;70,0;1.247;12,5;0,8;545;120;14:00;16:00;20;11.350;545;56;4,34;4,8;;;;;;0;;;;30;11:30;12:00;2;0,5;15;6.140;246;20;3,78;4,00;21;2,6;456;120;12:00;14:00;23;9.508;456;31;5,10;4,80;;;;;;0;;;;;
085;2018-03-29;22:55:00;10:00;3:30;2,75;28;4;3;3;5;3;1;1;3;5;5;3;4;5;1;1;0,5;0,5;0,5;0,5;1;1;2;1;1;2;0,5;0,5;58,0;1.129;54,0;3,6;1.018;120;14:00;16:00;13;11.613;465;42;4,83;4,0;90;18:00;19:30;15;11.534;554;38;4,57;4,8;30;13:30;14:00;8;2,0;13;6.244;350;31;4,08;5,60;8;1,0;315;90;16:00;17:30;13;9.843;315;20;5,01;3,20;;;;;;0;;;;;
086;2018-04-01;23:00:00;10:30;4:20;2,90;21;6;4;7;6;1;0,5;2;2;2;5;1;1;2;2;1;0,5;0,5;0,5;0,5;3;2;1;1;1;1;1;1;55,5;1.042;47,0;3,1;366;120;16:00;18:00;18;11.438;366;46;4,75;3,2;;;;;;0;;;;30;17:00;17:30;2;0,5;25;5.721;275;29;4,80;4,80;9;1,1;401;120;18:00;20:00;7;10.024;401;32;4,70;4,00;;;;;;0;;;;;
087;2018-04-02;22:45:00;11:30;4:00;2,67;26;3;2;2;2;1;1;0,5;3;1;2;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;2;2;1;1;1;1;1;1;33,5;1.276;42,5;2,8;907;120;16:00;18:00;10;11.701;562;28;4,77;4,8;90;18:00;19:30;16;11.499;345;10;4,62;3,0;30;17:00;17:30;2;0,5;15;6.140;246;23;4,90;4,00;11;1,4;468;120;18:00;20:00;15;9.759;468;35;4,45;4,80;;;;;;0;;;;;
088;2018-04-03;23:15:00;12:30;8:00;2,92;64;1;0,5;0,5;1;1;0,5;0,5;1;0,5;1;1;1;6;0,5;0,5;1;1;1;1;2;2;12;12;2;2;0,5;0,5;53,5;1.133;21,5;1,4;463;120;16:00;18:00;14;11.568;463;67;4,84;4,0;;;;;;0;;;;30;17:00;17:30;2;0,5;20;5.944;226;40;4,92;3,80;10;1,3;445;120;18:00;20:00;18;9.668;445;45;4,52;4,60;;;;;;0;;;;;
089;2018-04-04;25:30:00;14:30;6:00;2,98;33;0,5;8;8;1;4;4;3;1;7;4;1;2;2;3;4;0,5;0,5;0,5;0,5;1;1;1;1;1;1;0,5;0,5;61,5;1.436;16,5;1,1;743;120;1:00;3:00;13;11.613;743;64;4,80;6,4;;;;;;0;;;;30;18:00;18:30;4;1,0;22;5.861;246;27;5,02;4,20;33;4,1;447;120;22:00;0:00;24;9.470;447;24;4,64;4,72;;;;;;0;;;;;
090;2018-04-05;22:30:00;19:00;13:00;3,02;56;1;2;2,5;4;8;2;1;1;1;2;3;5;10;3;2;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;2;0,5;0,5;57,5;1.410;52,5;3,5;553;120;0:00;2:00;15;11.526;553;35;4,60;4,8;;;;;;0;;;;30;20:00;20:30;2;0,5;20;5.944;380;40;4,70;6,40;7;0,9;476;120;2:00;4:00;10;9.927;476;38;4,85;4,80;;;;;;0;;;;;
091;2018-05-06;23:55:00;18:45;12:00;3,12;48;2;2;1;2;0,5;0,5;0,5;2;3;1;2;2;3;0,5;0,5;1;1;1;1;1;1;2;3;2;2;0,5;0,5;38,5;1.427;47,5;3,2;743;90;4:30;6:00;13;11.613;743;36;4,80;6,4;;;;;;0;;;;30;4:00;4:30;2;0,5;18;6.035;246;45;4,47;4,08;8;1,0;437;90;6:30;8:00;15;9.759;437;33;4,35;4,48;;;;;;0;;;;;
092;2018-04-07;25:00:00;21:30;22:00;3,04;44;0,5;0,5;0,5;0,5;0,5;0,5;4;1;1;1;1;2;3;0,5;0,5;1;1;0,5;0,5;2;1;1;2;6;4;1;1;38,0;1.029;22,5;1,5;762;90;3:30;5:00;30;10.998;440;41;4,56;4,0;90;7:30;9:00;16;11.499;322;42;4,36;2,8;30;3:00;3:30;4;1,0;23;5.826;280;15;4,75;4,80;12;1,5;586;90;5:00;6:30;18;9.675;310;54;4,46;3,20;90;9:30;11:00;32;9.206;276;37;4,52;3,00;;
093;2018-04-08;21:45:00;23:00;16:00;3,25;61;0,5;0,5;0,5;0,5;1;0,5;2;0,5;2;0,5;1;0,5;0,5;1;1;1;1;1;1;1;1;1;2;2;1;0,5;0,5;25,5;1.089;17,0;1,1;360;90;6:00;8:00;23;11.262;360;34;4,36;3,2;;;;;;0;;;;30;3:30;4:00;3;0,8;28;5.617;225;32;4,12;4,00;18;2,3;504;90;10:00;11:30;38;9.005;504;40;4,53;5,60;;;;;;0;;;;;
094;2018-04-09;26:20:00;20:30;19:00;2,94;90;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;2;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;3;3;6;0,5;2;1;3;3;34,5;1.241;12,5;0,8;372;90;6:00;8:00;13;11.613;372;41;4,90;3,2;;;;;;0;;;;30;4:00;4:30;4;1,0;38;5.198;333;70;4,71;6,40;9;1,1;734;90;10:00;11:30;20;9.591;537;67;4,27;5,60;90;15:30;17:00;40;8.942;197;70;4,44;2,20;;
095;2018-04-10;22:15:00;23:30;18:00;3,02;152;0,5;0,5;0,5;0,5;0,5;1;2;1;0,5;0,5;0,5;0,5;12;0,5;7;1;0,5;1;0,5;1;1;0,5;0,5;0,5;0,5;1;1;37,0;1.060;11,0;0,7;346;90;7:00;9:00;36;10.822;346;36;5,00;3,2;;;;;;0;;;;90;4:00;4:30;2;0,5;38;5.198;250;44;4,70;4,80;22;2,7;858;90;10:00;11:30;18;9.675;464;58;4,90;4,80;90;15:30;17:00;13;9.843;394;57;4,80;4,00;;
096;2018-04-11;24:40:00;23:30;22:00;2,93;52;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;16,5;1.585;28,0;1,9;824;90;7:00;9:00;18;11.438;824;39;4,90;7,2;;;;;;0;;;;90;5:00;5:30;3;0,8;25;5.721;137;38;4,80;2,40;6;0,8;1073;90;11:00;12:30;15;9.759;625;24;4,85;6,40;90;16:00;17:30;28;9.340;448;48;4,90;4,80;;
097;2018-04-12;21:15:00;2:30;21:00;3,05;34;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;13,5;648;10,5;0,7;641;90;7:00;9:00;20;11.350;272;59;5,10;2,4;90;18:00;19:30;15;11.526;369;67;5,20;3,2;90;8:00;8:30;2;0,5;25;5.721;137;55;5,05;2,40;4;0,5;238;90;11:00;12:30;10;9.927;238;39;5,27;2,40;;;;;;0;;;;;
098;2018-04-13;26:15:00;3:40;2:00;2,89;131;1;0,5;0,5;0,5;1;1;1;1;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;0,5;0,5;2;1;1;1;1;1;1;1;22,0;1.000;7,5;0,5;358;120;10:00;12:00;25;11.174;358;17;4,92;3,2;;;;;;0;;;;120;13:30;15:30;2;0,5;18;6.035;338;14;4,48;5,60;4;0,5;757;90;11:00;12:30;23;9.508;304;25;4,89;3,20;90;17:00;18:30;25;9.424;452;31;4,90;4,80;;
